Date,Value
1987/10/1,0.007971749
1988/1/1,0.007839328
1988/4/1,0.009740148
1988/7/1,0.011946963
1988/10/1,0.008639709
1989/1/1,0.010435799
1989/4/1,0.01064199
1989/7/1,0.007308818
1989/10/1,0.007125929
1990/1/1,0.010782497
1990/4/1,0.011193673
1990/7/1,0.008578277
1990/10/1,0.007442151
1991/1/1,0.009792662
1991/4/1,0.007346274
1991/7/1,0.007811427
1991/10/1,0.005934269
1992/1/1,0.003717136
1992/4/1,0.006012355
1992/7/1,0.004888445
1992/10/1,0.00688172
1993/1/1,0.005612102
1993/4/1,0.005946975
1993/7/1,0.00594094
1993/10/1,0.005457125
1994/1/1,0.004779661
1994/4/1,0.004828564
1994/7/1,0.005732212
1994/10/1,0.005430159
1995/1/1,0.005429035
1995/4/1,0.004796634
1995/7/1,0.004927277
1995/10/1,0.004819779
1996/1/1,0.004810484
1996/4/1,0.004140872
1996/7/1,0.003274376
1996/10/1,0.005339342
1997/1/1,0.005962973
1997/4/1,0.002025385
1997/7/1,0.004339038
1997/10/1,0.003287179
1998/1/1,0.001471041
1998/4/1,0.002350208
1998/7/1,0.004303052
1998/10/1,0.002745868
1999/1/1,0.003201355
1999/4/1,0.003784532
1999/7/1,0.003560075
1999/10/1,0.005524066
2000/1/1,0.006639328
2000/4/1,0.00623343
2000/7/1,0.005860655
2000/10/1,0.005430408
2001/1/1,0.006557544
2001/4/1,0.006047674
2001/7/1,0.003928065
2001/10/1,0.003112656
2002/1/1,0.003227615
2002/4/1,0.003465666
2002/7/1,0.00481537
2002/10/1,0.005740896
2003/1/1,0.004985423
2003/4/1,0.003449327
2003/7/1,0.005684579
2003/10/1,0.006159718
2004/1/1,0.007070319
2004/4/1,0.008033852
2004/7/1,0.006420792
2004/10/1,0.00773099
2005/1/1,0.007963157
2005/4/1,0.00727563
2005/7/1,0.009094876
2005/10/1,0.00809113
2006/1/1,0.007044082
2006/4/1,0.008866818
2006/7/1,0.006977778
2006/10/1,0.003740566
2007/1/1,0.009585894
2007/4/1,0.006685613
2007/7/1,0.005191827
2007/10/1,0.004239613
2008/1/1,0.003514524
2008/4/1,0.005071806
2008/7/1,0.00754276
2008/10/1,0.002372417
2009/1/1,-0.000494399
2009/4/1,-0.001747037
2009/7/1,0.00107536
2009/10/1,0.003296333
2010/1/1,0.002718675
2010/4/1,0.004878253
2010/7/1,0.003021085
2010/10/1,0.005857793
2011/1/1,0.005162836
2011/4/1,0.006605305
2011/7/1,0.006184368
2011/10/1,0.001206958
2012/1/1,0.006068035
2012/4/1,0.00402767
2012/7/1,0.005184881
2012/10/1,0.005068343
2013/1/1,0.004000476
2013/4/1,0.002837623
2013/7/1,0.004712703
2013/10/1,0.005976096
2014/1/1,0.004165244
2014/4/1,0.005663383
2014/7/1,0.004366095
2014/10/1,0.00166383
2015/1/1,-0.000355257
2015/4/1,0.005417191
2015/7/1,0.002980597
2015/10/1,-9.52481E-05
2016/1/1,-0.00080016
2016/4/1,0.007064207
2016/7/1,0.002773676
2016/10/1,0.005267679
2017/1/1,0.00505226
2017/4/1,0.003214202
2017/7/1,0.004973503
2017/10/1,0.007108236
2018/1/1,0.005438483
2018/4/1,0.008905282
2018/7/1,0.003292995
2018/10/1,0.005226182
2019/1/1,0.003049247
2019/4/1,0.005721255
2019/7/1,0.003254512
2019/10/1,0.004097159
2020/1/1,0.003257271
2020/4/1,-0.004296579
2020/7/1,0.009117571
2020/10/1,0.004838087
2021/1/1,0.010599533
2021/4/1,0.015226715
2021/7/1,0.014495839
2021/10/1,0.016975192
